RMAC,definition,strong,verb_core,language,lookup_source,verify_status,verify_detail
Art | V-Hifil-Perf-3cp,<p>Article </p><p>+ Verb - Hifil - Perfect - third person common plural</p>,H8689,V-Hifil-Perf,hebrew,allstrong_def_hebrew:hebrew_def:Hifil/parfait,OK_DEF_MATCH,Hifil / Parfait
Art | V-Hifil-Perf-3ms,<p>Article </p><p>+ Verb - Hifil - Perfect - third person masculine singular</p>,H8689,V-Hifil-Perf,hebrew,allstrong_def_hebrew:hebrew_def:Hifil/parfait,OK_DEF_MATCH,Hifil / Parfait
Art | V-Hifil-Prtcpl-fs,<p>Article </p><p>+ Verb - Hifil - Participle - feminine singular</p>,H8688,V-Hifil-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Hifil/participe,OK_DEF_MATCH,Hifil / Participe
Art | V-Hifil-Prtcpl-mp,<p>Article </p><p>+ Verb - Hifil - Participle - masculine plural</p>,H8688,V-Hifil-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Hifil/participe,OK_DEF_MATCH,Hifil / Participe
Art | V-Hifil-Prtcpl-ms,<p>Article </p><p>+ Verb - Hifil - Participle - masculine singular</p>,H8688,V-Hifil-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Hifil/participe,OK_DEF_MATCH,Hifil / Participe
Art | V-Hifil-Prtcpl-msc,<p>Article </p><p>+ Verb - Hifil - Participle - masculine singular construct</p>,H8688,V-Hifil-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Hifil/participe,OK_DEF_MATCH,Hifil / Participe
Art | V-Hifil-Prtcpl-msc | 2mp,<p>Article </p><p>+ Verb - Hifil - Participle - masculine singular construct </p><p>+ second person masculine plural</p>,H8688,V-Hifil-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Hifil/participe,OK_DEF_MATCH,Hifil / Participe
Art | V-Hifil-Prtcpl-msc | 2ms,<p>Article </p><p>+ Verb - Hifil - Participle - masculine singular construct </p><p>+ second person masculine singular</p>,H8688,V-Hifil-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Hifil/participe,OK_DEF_MATCH,Hifil / Participe
Art | V-Hifil-Prtcpl-msc | 3mp,<p>Article </p><p>+ Verb - Hifil - Participle - masculine singular construct </p><p>+ third person masculine plural</p>,H8688,V-Hifil-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Hifil/participe,OK_DEF_MATCH,Hifil / Participe
Art | V-Hifil-Prtcpl-msc | 3ms,<p>Article </p><p>+ Verb - Hifil - Participle - masculine singular construct </p><p>+ third person masculine singular</p>,H8688,V-Hifil-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Hifil/participe,OK_DEF_MATCH,Hifil / Participe
Art | V-Hitpael-Prtcpl-fp,<p>Article </p><p>+ Verb - Hitpael - Participle - feminine plural</p>,H8693,V-Hitpael-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Hitpael/participe,OK_DEF_MATCH,Hitpael / Participe
Art | V-Hitpael-Prtcpl-fs,<p>Article </p><p>+ Verb - Hitpael - Participle - feminine singular</p>,H8693,V-Hitpael-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Hitpael/participe,OK_DEF_MATCH,Hitpael / Participe
Art | V-Hitpael-Prtcpl-mp,<p>Article </p><p>+ Verb - Hitpael - Participle - masculine plural</p>,H8693,V-Hitpael-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Hitpael/participe,OK_DEF_MATCH,Hitpael / Participe
Art | V-Hitpael-Prtcpl-ms,<p>Article </p><p>+ Verb - Hitpael - Participle - masculine singular</p>,H8693,V-Hitpael-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Hitpael/participe,OK_DEF_MATCH,Hitpael / Participe
Art | V-Hofal-Prtcpl-fs,<p>Article </p><p>+ Verb - Hofal - Participle - feminine singular</p>,H8716,V-Hofal-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Hofal/participe,OK_DEF_MATCH,Hofal / Participe
Art | V-Hofal-Prtcpl-mp,<p>Article </p><p>+ Verb - Hofal - Participle - masculine plural</p>,H8716,V-Hofal-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Hofal/participe,OK_DEF_MATCH,Hofal / Participe
Art | V-Hofal-Prtcpl-ms,<p>Article </p><p>+ Verb - Hofal - Participle - masculine singular</p>,H8716,V-Hofal-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Hofal/participe,OK_DEF_MATCH,Hofal / Participe
Art | V-Nifal-Perf-3cp,<p>Article </p><p>+ Verb - Nifal - Perfect - third person common plural</p>,H8738,V-Nifal-Perf,hebrew,allstrong_def_hebrew:hebrew_def:Nifal/parfait,OK_DEF_MATCH,Nifal / Parfait
Art | V-Nifal-Perf-3ms,<p>Article </p><p>+ Verb - Nifal - Perfect - third person masculine singular</p>,H8738,V-Nifal-Perf,hebrew,allstrong_def_hebrew:hebrew_def:Nifal/parfait,OK_DEF_MATCH,Nifal / Parfait
Art | V-Nifal-Prtcpl-fp,<p>Article </p><p>+ Verb - Nifal - Participle - feminine plural</p>,H8737,V-Nifal-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Nifal/participe,OK_DEF_MATCH,Nifal / Participe
Art | V-Nifal-Prtcpl-fs,<p>Article </p><p>+ Verb - Nifal - Participle - feminine singular</p>,H8737,V-Nifal-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Nifal/participe,OK_DEF_MATCH,Nifal / Participe
Art | V-Nifal-Prtcpl-mp,<p>Article </p><p>+ Verb - Nifal - Participle - masculine plural</p>,H8737,V-Nifal-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Nifal/participe,OK_DEF_MATCH,Nifal / Participe
Art | V-Nifal-Prtcpl-ms,<p>Article </p><p>+ Verb - Nifal - Participle - masculine singular</p>,H8737,V-Nifal-Prtcpl,hebrew,allstrong_def_hebrew:hebrew_def:Nifal/participe,OK_DEF_MATCH,Nifal / Participe
