Heb Sort	Greek Sort	BSB Sort	Verse	Language	WLC / Nestle Base TR RP WH NE NA SBL	WLC / Nestle Base {TR} ⧼RP⧽ (WH) 〈NE〉 [NA] ‹SBL› [[ECM]]	Translit	Parsing	Parsing	Str Heb	Str Grk	VerseId	Hdg	Crossref	Par	Space	begQ	 BSB version 	pnc	endQ	footnotes	End text
1	0	1	1	Hebrew	בְּרֵאשִׁ֖ית	בְּרֵאשִׁ֖ית	bə·rê·šîṯ	Prep-b | N-fs	Preposition-b | Noun - feminine singular	7225		Genesis 1:1	<p class=|hdg|>The Creation	<br /><span class=|cross|>(<a href =|../john/1.htm|>John 1:1–5</a>; <a href =|../hebrews/11.htm|>Hebrews 11:1–3</a>)</span>	<p class=|reg|>			 In the beginning 				
3	0	2	1	Hebrew	אֱלֹהִ֑ים	אֱלֹהִ֑ים	’ĕ·lō·hîm	N-mp	Noun - masculine plural	430								 God 				
4	0	3	1	Hebrew	אֵ֥ת	אֵ֥ת	’êṯ	DirObjM	Direct object marker	853								 - 				
2	0	4	1	Hebrew	בָּרָ֣א	בָּרָ֣א	bā·rā	V-Qal-Perf-3ms	Verb - Qal - Perfect - third person masculine singular	1254								 created 				
5	0	5	1	Hebrew	הַשָּׁמַ֖יִם	הַשָּׁמַ֖יִם	haš·šā·ma·yim	Art | N-mp	Article | Noun - masculine plural	8064								 the heavens 				
6	0	6	1	Hebrew	וְאֵ֥ת	וְאֵ֥ת	wə·’êṯ	Conj-w | DirObjM	Conjunctive waw | Direct object marker	853								 and 				
7	0	7	1	Hebrew	הָאָֽרֶץ׃	הָאָֽרֶץ׃	hā·’ā·reṣ	Art | N-fs	Article | Noun - feminine singular	776								 the earth 	.			
18	0	18	2	Hebrew	וְהָאָ֗רֶץ	וְהָאָ֗רֶץ	wə·hā·’ā·reṣ	Conj-w, Art | N-fs	Conjunctive waw, Article | Noun - feminine singular	776		Genesis 1:2			<p class=|reg|>			 Now the earth 				
19	0	19	2	Hebrew	הָיְתָ֥ה	הָיְתָ֥ה	hā·yə·ṯāh	V-Qal-Perf-3fs	Verb - Qal - Perfect - third person feminine singular	1961								 was 				
20	0	20	2	Hebrew	תֹ֙הוּ֙	תֹ֙הוּ֙	ṯō·hū	N-ms	Noun - masculine singular	8414								 formless 				
21	0	21	2	Hebrew	וָבֹ֔הוּ	וָבֹ֔הוּ	wā·ḇō·hū	Conj-w | N-ms	Conjunctive waw | Noun - masculine singular	922								 and void 	,			
22	0	22	2	Hebrew	וְחֹ֖שֶׁךְ	וְחֹ֖שֶׁךְ	wə·ḥō·šeḵ	Conj-w | N-ms	Conjunctive waw | Noun - masculine singular	2822								 and darkness 				
23	0	23	2	Hebrew	עַל־	עַל־	‘al-	Prep	Preposition	5921								 was over 				
24	0	24	2	Hebrew	פְּנֵ֣י	פְּנֵ֣י	pə·nê	N-cpc	Noun - common plural construct	6440								 the surface 				
25	0	25	2	Hebrew	תְה֑וֹם	תְה֑וֹם	ṯə·hō·wm	N-cs	Noun - common singular	8415								 of the deep 	.			
26	0	26	2	Hebrew	וְר֣וּחַ	וְר֣וּחַ	wə·rū·aḥ	Conj-w | N-csc	Conjunctive waw | Noun - common singular construct	7307								 And the Spirit 				
27	0	27	2	Hebrew	אֱלֹהִ֔ים	אֱלֹהִ֔ים	’ĕ·lō·hîm	N-mp	Noun - masculine plural	430								 of God 				
28	0	28	2	Hebrew	מְרַחֶ֖פֶת	מְרַחֶ֖פֶת	mə·ra·ḥe·p̄eṯ	V-Piel-Prtcpl-fs	Verb - Piel - Participle - feminine singular	7363								 was hovering 				
29	0	29	2	Hebrew	עַל־	עַל־	‘al-	Prep	Preposition	5921								 over 				
30	0	30	2	Hebrew	פְּנֵ֥י	פְּנֵ֥י	pə·nê	N-cpc	Noun - common plural construct	6440								 the surface 				
31	0	31	2	Hebrew	הַמָּֽיִם׃	הַמָּֽיִם׃	ham·mā·yim	Art | N-mp	Article | Noun - masculine plural	4325								 of the waters 	.			
