id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
40001001001	40001001	This				
40001001002	40001001	is				
40001001003	40001001	the				
40001001004	40001001	record				
40001001005	40001001	of				
40001001006	40001001	the				
40001001007	40001001	genealogy				
40001001008	40001001	of				
40001001009	40001001	Jesus				
40001001010	40001001	Christ	y			
40001001011	40001001	,		y		
40001001012	40001001	the				
40001001013	40001001	son				
40001001014	40001001	of				
40001001015	40001001	David	y			
40001001016	40001001	,		y		
40001001017	40001001	the				
40001001018	40001001	son				
40001001019	40001001	of				
40001001020	40001001	Abraham	y			
40001001021	40001001	:		y		
